Field Header,แสดงตาม Media Group,Field Type,Field Required,Value,Field Description
General Info (ข้อมูลทั่วไป),,,,,
Media Code,แสดงทุก Media Group,Free Text,Yes,,รหัสป้ายสำหรับการขาย
Owner Group,แสดงทุก Media Group,Drop Down List,Yes,"PlanB Group, Sale Right","ประเภทการถือครองทรัพย์สิน มีแค่2ประเภทคือ PlanB Group, Sale Right"
Owner Original,แสดงทุก Media Group,Drop Down List,Yes,Master Data Product Owner,บริษัทเจ้าของ Asset อาจจะมีสัญญาโดยตรงกับแพลนบีหรือไม่มีก็ได้ ถ้าเค้าเป็นเจ้าของจริงๆ เช่น บริษัทลูกของ ไทยสมายบัส ที่ต้องใช้ในการขออนุญาตแบบ
Product Owner,แสดงทุก Media Group,Drop Down List,Yes,Master Data Product Owner,รายชื่อบริษัทในกลุ่มแพลนบีที่รับผิดชอบ รายรับ-รายจ่ายในAssetนี้
Past owner,แสดงทุก Media Group,Free Text,No,,บริษัทเจ้าของเดิมของทรัพย์สินนี้ (หากมี)
Old Code,แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Product Site,แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
PB Code,แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Equipment ID,แสดงทุก Media Group,Free Text,No,,รหัสทรัพย์สินใน Epicor
Description (TH),แสดงทุก Media Group,Free Text,Yes,,จุดรับสายตาป้าย/สื่อ (ภาษาไทย)
Description (EN),แสดงทุก Media Group,Free Text,No,,จุดรับสายตาป้าย/สื่อ (ภาษาอังกฤษ)
Rental Expired Date,แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Remark (หมายเหตุทั่วไป),แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Condition (สภาพป้าย),แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Problem / Comment,แสดงทุก Media Group,Free Text,No,,มีใน CRM ปัจจุบัน
Location and Map (ที่ตั้ง & แผนที่),,,,,
Location (TH),แสดงทุก Media Group,Free Text,Yes,,จุดติดตั้งป้าย/สื่อ (ภาษาไทย)
Location (EN),แสดงทุก Media Group,Free Text,No,,จุดติดตั้งป้าย/สื่อ (ภาษาอังกฤษ)
Road Code,แสดงทุก Media Group,Free Text,No,,รหัสถนน อิงจากการตั้งรหัสป้ายสื่อ Billboard
Road (TH),แสดงทุก Media Group,Free Text,Yes,,ชื่อถนนของจุดติดตั้งป้าย/สื่อ (ภาษาไทย)
Road (EN),แสดงทุก Media Group,Free Text,No,,ชื่อถนนของจุดติดตั้งป้าย/สื่อ (ภาษาอังกฤษ)
Province,แสดงทุก Media Group,Drop Down List,Yes,Master Data Province,จังหวัด (ภาษาไทย)
Region,แสดงทุก Media Group,Drop Down List,Yes,Master Data Province,ภาค (ภาษาไทย)
District,แสดงทุก Media Group,Drop Down List,Yes,Master Data District,แขวงของจุดติดตั้งป้าย/สื่อ
Sub-district,แสดงทุก Media Group,Drop Down List,No,Master Data Sub-district,เขตของจุดติดตั้งป้าย/สื่อ
Area,แสดงทุก Media Group,Drop Down List,No,"Central, West, East, Northeast, South, North, Bangkok, Greater Bangkok, International, Domestic",สถานที่จุดติดตั้งของสื่อ แบ่งกลุ่มตามลักษณะพื้นที่ของแต่ละประเภทสื่อ
Major Zone,แสดงทุก Media Group,Drop Down List,No,"Airport Zone - Airport Entrance, Bangkok - CBD, Bangkok - Expressway, Gateway Bangkok - Eastgate, Gateway Bangkok - Northgate, Gateway Bangkok - Southgate, Gateway Bangkok - Westgate, Small Billboard NTW - Daily Traffic In Town, Up Country - Daily Traffic In Town, Up Country - Highway, Arrival Hall, Outdoor, Passenger Hall, Departure Hall",การแยกพื้นที่สื่อรายโซน (โซน 1)
